country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,year,month,continent
Argentina,ARG,2021-06-04,4404175,3712009,692166,94230,9.66,8.14,1.52,2066,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,June,South America
Argentina,ARG,2021-05-04,4260808,3576423,684385,87820,9.34,7.84,1.5,1926,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,May,South America
Argentina,ARG,2021-04-04,4234505,3550166,684339,87032,9.29,7.78,1.5,1908,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,April,South America
Argentina,ARG,2021-03-04,4178896,3495125,683771,86919,9.16,7.66,1.5,1906,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,March,South America
Argentina,ARG,2021-02-18,635583,392399,243184,8951,1.39,0.86,0.53,196,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,February,South America
Argentina,ARG,2021-02-17,612322,374002,238320,11003,1.34,0.82,0.52,241,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,February,South America
Argentina,ARG,2021-09-04,4956023,4244964,711059,118982,10.87,9.31,1.56,2609,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,September,South America
Argentina,ARG,2021-02-16,611169,373253,237916,13999,1.34,0.82,0.52,307,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,February,South America
Argentina,ARG,2021-02-14,609605,372122,237483,15493,1.34,0.82,0.52,340,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,February,South America
Argentina,ARG,2021-01-25,292386,260122,32264,9046,0.64,0.57,0.07,198,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,January,South America
